Id,fwd,lag_d,noc,gy,ay,noi,UMC,firm,MSA,tbm,tbru,PAG,npr,fpr,FT,FS
6420,32,1296,21,1998,1995,3,382,160890,32,20,0.54,4952820.7,1,0,2,96
6421,21,777,12,1996,1994,1,235,0,47,8,0,4987054.375,0,0,1,
6422,4,1014,11,1987,1984,1,700,864012,526,10,0.8,4479744.4,0,0,3,
6423,136,1163,30,1990,1987,2,340,271970,47,24,0.85422,4233312.917,1,0,2,1
6424,18,925,62,1992,1990,3,359,864025,191,8,0.40626,4466178.75,16,0,2,145
6425,16,622,12,1998,1997,1,712,8075,16,23,0.41967,5173216.087,4,10,2,12
6426,14,1342,15,1999,1995,3,370,755980,515,2,0,5567602,2,2,2,
6427,56,818,21,1991,1989,2,701,3830,228,18,0.53708,4588039.056,2,0,2,
6428,64,973,18,1996,1993,3,709,278220,238,14,0.898,5207862.286,1,0,2,25
6429,42,1782,16,1996,1991,2,382,863995,213,9,0,4677912.778,2,0,2,
6430,4,700,13,1999,1997,1,341,636035,553,3,0,5046888,0,0,3,
6431,11,1351,38,2001,1997,1,707,278220,238,17,0.6436,5829314.706,1,0,2,48
6432,16,501,93,1998,1997,3,382,599485,103,13,0.69826,4821570.923,0,0,2,
6433,18,1044,5,1990,1987,1,718,618190,32,8,0.56252,4514679.75,0,0,2,
6434,2,629,22,1999,1997,3,710,699007,16,2,0.5,5302599.5,7,0,2,1
6435,3,1005,20,1999,1996,1,710,105280,198,16,0.8438,5126201.5,3,0,2,3
6436,6,414,22,1995,1994,1,340,44640,137,9,0.71607,4389586.556,3,3,2,
6437,35,1012,14,1994,1991,2,703,581270,553,4,0.375,4583010.25,0,0,3,162
6438,24,1530,12,1988,1984,5,711,280070,305,13,0.63908,4323715.462,0,3,2,369
6439,4,847,9,1994,1992,2,715,863992,555,2,0.5,4078331.5,0,0,3,
6440,15,1149,25,1984,1981,3,715,280070,16,6,0.50002,4276082.167,0,0,2,341
6441,2,1307,22,2001,1997,5,345,695771,263,0,0,0,4,0,2,2
6442,37,1250,13,1994,1990,2,715,280070,26,16,0.85161,4767072.813,1,4,2,383
6443,21,792,18,1998,1996,1,708,250060,58,12,0.56946,5221290.25,0,3,2,102
6444,16,1462,9,1991,1987,3,726,342470,261,14,0.78574,4607151.929,1,0,2,14
6445,31,837,2,1992,1990,1,340,685181,261,6,0.44445,4363571,0,0,3,
6446,22,1105,13,1996,1993,3,707,250060,261,11,0.57852,5295060.636,0,0,2,92
6447,2,939,3,1995,1992,2,398,377880,156,8,0.53126,4377676.625,1,1,2,88
6448,7,1114,26,1994,1991,2,708,600170,257,7,0.77554,4484980.571,0,0,3,
